gender,age,tenure,monthly_charges,total_charges,contract_type,internet_service,payment_method,support_calls,senior_citizen,churn
Female,39,47,1712.7214773120518,80466.10274635893,Monthly,Fiber,Debit Card,1,0,0
Female,24,40,983.6771158901968,39408.17789221599,Monthly,Fiber,Credit Card,5,0,0
Female,31,54,1570.5651586857891,84778.24081485515,Monthly,DSL,Cash,9,0,1
Male,32,46,1628.0272509925023,74800.34014344336,Monthly,None,UPI,4,0,1
Female,24,47,825.5242471842627,38810.477147861304,Yearly,DSL,Debit Card,9,0,0
Male,26,15,2059.651267080457,30912.349471185815,Monthly,DSL,Cash,7,0,0
Male,68,19,2407.482262242444,45829.07103173081,Monthly,Fiber,Debit Card,2,0,0
Male,65,26,2435.951560401701,63379.952835656724,Monthly,DSL,Debit Card,5,0,1
Male,25,52,1925.6685428993287,100218.31876126399,Yearly,DSL,Credit Card,5,0,0
Male,67,22,1680.424172801338,37051.00124367804,Monthly,DSL,Debit Card,9,1,1
Female,40,21,463.7192861145662,9759.019830457539,Monthly,Fiber,Credit Card,2,0,0
Female,46,51,1076.1445068993357,54888.92226493342,Monthly,None,Cash,6,0,0
Female,35,38,550.8329063010588,20943.138632872953,Yearly,DSL,Debit Card,3,0,0
Female,48,20,2901.3225343718786,58122.11684897302,Monthly,None,Cash,4,0,0
Female,47,29,663.7163948095539,19302.408987826457,Monthly,DSL,UPI,8,0,0
Male,69,51,708.7936065979756,36069.72711745523,Monthly,None,Cash,5,0,0
Female,56,4,2700.8568694923288,10859.113159325596,Yearly,Fiber,Debit Card,9,0,1
Female,52,55,2847.606365386436,156552.45770603363,Monthly,Fiber,UPI,3,1,1
Male,35,71,2366.7384059342567,168027.89693113335,Monthly,Fiber,Credit Card,7,0,0
Female,59,28,313.59329391620867,8722.70416408915,Monthly,Fiber,UPI,8,0,0
Male,56,4,302.634931582722,1248.456339437534,Monthly,DSL,Debit Card,9,0,1
Female,34,22,1319.8720784261172,29112.647672613188,Yearly,DSL,Debit Card,4,0,0
Male,31,45,686.1674990294098,30835.609833396775,Monthly,DSL,Cash,1,0,0
Female,48,67,348.64258380931267,23275.45526346559,Yearly,Fiber,Credit Card,5,0,0
Female,41,66,1551.9800613921627,102390.38267149773,Yearly,None,Debit Card,7,0,1
Male,52,34,2845.267122998823,96773.55455354643,Monthly,Fiber,Debit Card,4,0,0
Male,61,55,1173.3128522365648,64497.95889852195,Yearly,Fiber,Credit Card,0,1,0
Male,62,1,2084.079831757481,2039.7022652682415,Yearly,DSL,Credit Card,7,0,1
Male,51,38,2060.03545345759,78218.23426950526,Yearly,DSL,Cash,8,0,0
Male,20,6,976.9162798959529,5861.000964750605,Monthly,Fiber,UPI,0,0,1
Male,54,25,2055.1481718244336,51333.89406124228,Monthly,Fiber,Credit Card,7,0,0
Male,60,17,872.3017305746064,14875.331489596207,Monthly,DSL,Debit Card,9,0,1
Male,57,61,628.4200166576004,38248.94549651207,Yearly,Fiber,Credit Card,1,0,0
Female,43,12,2192.7348710111632,26345.62505875622,Monthly,Fiber,Debit Card,3,0,0
Female,40,6,605.2902061805752,3579.253239997005,Monthly,DSL,Cash,1,0,0
Male,61,27,2990.6548901912593,80745.53788737433,Monthly,Fiber,UPI,1,0,0
Female,56,8,794.3214831056191,6311.789849251205,Monthly,Fiber,Cash,9,0,1
Female,32,65,1903.1830294424353,123751.45064896045,Monthly,DSL,Credit Card,2,0,1
Female,66,57,1409.7113428139912,80442.60794844783,Monthly,None,Debit Card,7,1,0
Female,21,40,640.2433404953013,25693.14897570601,Monthly,None,Credit Card,3,0,1
Male,46,14,374.17855045901615,5255.184949455044,Yearly,Fiber,Credit Card,6,0,1
Female,39,35,1980.3771621906499,69305.72273732413,Monthly,Fiber,Credit Card,9,0,1
Male,42,48,2477.2454222306405,118971.44036895862,Yearly,Fiber,Credit Card,2,1,0
Female,30,56,2572.442286068209,144093.43329234523,Monthly,Fiber,UPI,9,0,1
Female,35,49,1602.326377307723,78450.70531092181,Monthly,DSL,Debit Card,2,0,0
Female,50,13,2398.129761392441,31239.870740824335,Yearly,DSL,Credit Card,1,0,0
Male,33,61,2115.6872604190708,129042.69976344226,Yearly,DSL,Debit Card,5,0,0
Female,62,49,2254.4872242476595,110407.67112012954,Monthly,Fiber,UPI,5,0,0
Male,59,46,1629.0173140988982,74891.15591862862,Yearly,Fiber,Debit Card,0,0,0
Female,61,62,2009.2116986537433,124524.63072258174,Yearly,DSL,Debit Card,6,0,1
Male,19,8,2473.9199666553536,19795.20112816352,Yearly,Fiber,UPI,3,0,1
Female,52,43,1373.2872740039622,58998.22680030595,Monthly,DSL,Credit Card,2,0,0
Male,59,20,2475.143032342476,49427.57394432984,Monthly,DSL,Debit Card,7,0,0
Male,51,39,1897.4454755304698,73925.11171581109,Monthly,DSL,Cash,1,0,0
Female,47,49,746.9327658011229,36616.36076368284,Yearly,DSL,Debit Card,8,1,0
Male,30,64,365.64722450637845,23448.374226178097,Monthly,DSL,Credit Card,7,1,1
Female,30,62,1278.4347210777105,79227.25930858571,Yearly,Fiber,Cash,7,0,1
Female,35,54,1775.0800864001176,95761.25480756914,Monthly,Fiber,Credit Card,2,0,1
Female,49,9,2566.5149509494186,23024.07953593217,Monthly,DSL,Debit Card,3,0,1
Female,49,37,643.2113363786648,23881.75835807801,Monthly,Fiber,UPI,1,0,0
Female,52,49,2459.5571387456635,120517.00853045541,Yearly,DSL,Credit Card,1,0,0
Female,56,41,2629.1244243815127,107784.81596156505,Monthly,DSL,Credit Card,3,0,0
Female,63,17,705.8562149022512,11907.165489000288,Yearly,None,UPI,5,1,0
Female,69,21,2598.304662121391,54610.1253090126,Monthly,None,Debit Card,4,1,0
Female,46,51,2975.9246331755385,151777.7699081389,Yearly,Fiber,Credit Card,0,0,1
Female,66,59,2261.464843830241,133366.84197320155,Yearly,None,Debit Card,9,0,1
Female,46,39,2417.8781409274675,94219.26224820744,Yearly,DSL,Debit Card,0,1,0
Male,61,55,2983.9212224089583,164092.3448052191,Yearly,DSL,Debit Card,5,1,0
Male,33,41,1933.7993764200526,79353.20682606116,Monthly,Fiber,UPI,2,1,0
Female,61,39,1130.2932314438735,44154.49493815127,Monthly,None,Debit Card,2,0,1
Female,64,13,2560.3332520053505,33304.90155214869,Monthly,Fiber,Debit Card,6,0,1
Female,27,64,1958.1115992814043,125364.6496394559,Monthly,DSL,Cash,0,0,0
Female,47,11,1868.2276440465828,20473.535241992984,Yearly,Fiber,Cash,0,0,0
Female,42,19,983.8159998879033,18710.129210963736,Monthly,DSL,Cash,9,0,0
Female,56,11,2341.102527873794,25785.52094730917,Monthly,Fiber,Credit Card,2,0,1
Female,37,46,519.5016448222599,23837.218230406714,Monthly,Fiber,Credit Card,7,1,0
Female,22,45,2794.5750911455852,125831.91004813339,Monthly,Fiber,Cash,0,1,0
Male,18,1,1178.7233440803088,1117.7226915845129,Monthly,Fiber,UPI,9,0,1
Female,47,40,643.9915625329743,25722.35797328826,Yearly,Fiber,UPI,3,1,0
Male,66,19,1493.3896393765308,28398.514517558775,Monthly,DSL,Cash,8,0,0
Female,20,61,413.6687549926395,25261.464067577155,Monthly,DSL,Credit Card,3,0,0
Female,62,12,2147.490724515409,25809.765642382383,Monthly,DSL,Credit Card,9,0,0
Male,31,61,2736.3048782024616,166836.9999129638,Yearly,DSL,UPI,7,0,1
Female,47,33,2559.610119273974,84537.02682202685,Monthly,Fiber,Debit Card,6,0,1
Male,67,45,642.897578309279,28936.960450374205,Yearly,Fiber,UPI,2,0,0
Female,21,69,639.932070190876,44149.57720199145,Monthly,Fiber,Debit Card,6,0,1
Female,35,8,2495.273102275513,20058.404343106806,Monthly,None,Credit Card,6,0,1
Male,54,25,2794.486541428413,69910.23919509853,Monthly,None,Credit Card,9,1,1
Female,42,46,1542.8085405504207,70892.79407064323,Monthly,Fiber,Cash,2,0,0
Male,65,30,1646.222015667168,49437.96830346029,Yearly,Fiber,Credit Card,1,0,0
Female,18,47,1158.30751174146,54359.502838643195,Monthly,None,Debit Card,8,0,1
Male,63,49,2713.5158192923177,132867.76925782618,Monthly,None,UPI,0,0,0
Male,32,47,2040.237844289361,95871.90386065394,Yearly,None,Cash,6,0,0
Female,26,18,1077.279258351895,19489.74228489795,Monthly,DSL,Debit Card,3,0,0
Female,32,66,1105.7137518464792,72912.08440910661,Monthly,DSL,UPI,1,0,0
Male,66,68,2705.2401972717266,183990.86228318277,Yearly,Fiber,UPI,1,0,0
Female,41,33,335.811864545718,11016.470743249918,Monthly,DSL,UPI,7,0,0
Female,21,36,1170.3617463619237,42177.980264020924,Yearly,DSL,Credit Card,6,0,0
Female,29,19,1795.7630392841963,34120.568480047295,Monthly,DSL,UPI,6,0,1
Male,54,28,699.1871476681765,19613.23447672682,Yearly,DSL,Credit Card,4,1,0
Male,54,40,547.6666363388924,21847.24008873854,Monthly,Fiber,UPI,9,0,1
Male,60,15,2500.246093944512,37552.81707567177,Yearly,Fiber,UPI,7,0,0
Male,23,41,2713.8918493509696,111368.6896353143,Monthly,Fiber,Credit Card,1,1,0
Male,56,39,2522.7373361551117,98419.88621017455,Yearly,Fiber,Credit Card,1,0,1
Male,63,2,2725.727302290839,5450.150604196253,Monthly,DSL,Debit Card,4,0,1
Male,41,63,1792.402321857603,113005.98107475284,Monthly,DSL,UPI,0,1,1
Male,28,29,2492.096926673923,72173.98124199014,Monthly,DSL,Credit Card,5,0,0
Male,30,66,1335.9151236559712,88216.38286515126,Yearly,Fiber,Debit Card,3,0,0
Female,51,51,2097.9232259934042,107071.83382902638,Yearly,DSL,Debit Card,5,1,0
Male,42,10,2968.855934750744,29600.89426423163,Monthly,Fiber,Credit Card,6,1,1
Female,24,14,908.4648543656441,12708.52079520217,Monthly,DSL,UPI,2,0,0
Female,69,51,1351.7293149859177,68879.1389550718,Yearly,Fiber,Debit Card,7,0,0
Female,21,39,1595.127918737231,62223.292463869584,Monthly,Fiber,UPI,6,0,1
Male,25,28,671.6418149541396,18835.87941043664,Yearly,None,UPI,0,0,0
Male,37,3,517.8042482556533,1513.9373813527109,Monthly,DSL,Debit Card,5,0,0
Male,46,70,2539.251739068386,177739.61806872263,Yearly,Fiber,Credit Card,6,0,0
Male,68,27,2936.3448066344827,79237.17767618634,Monthly,Fiber,UPI,3,0,1
Female,62,2,1391.7576723400784,2757.39357757118,Monthly,DSL,Cash,1,1,1
Male,63,38,535.6545577255638,20286.78118490911,Yearly,Fiber,Credit Card,9,1,0
Male,27,3,476.6917538645565,1507.1871503107957,Yearly,None,Debit Card,8,1,1
Male,60,16,2705.5591571728064,43190.94859687673,Yearly,DSL,Cash,6,1,1
Male,51,40,1551.298474264736,62128.420807878196,Monthly,DSL,UPI,0,0,0
Male,43,2,1163.073754718458,2340.483285106864,Monthly,DSL,Credit Card,7,0,1
Female,58,41,1585.4454323463788,64969.594295036935,Monthly,Fiber,Cash,2,0,0
Male,66,12,1158.4210556693379,13945.66409312412,Yearly,Fiber,Credit Card,3,0,0
Female,20,35,1619.396593330574,56680.43119694262,Monthly,Fiber,UPI,4,0,0
Male,23,65,2619.8022716784294,170286.96939071943,Monthly,DSL,Credit Card,0,0,0
Female,22,55,1898.2137018676583,104323.782059305,Monthly,Fiber,Cash,5,1,0
Male,22,45,2174.5651865874734,97833.33660162539,Monthly,None,Credit Card,9,0,0
Male,64,62,1283.6108258327088,79532.08407079929,Yearly,Fiber,Debit Card,5,0,1
Female,40,49,2292.9658719784006,112258.46690806089,Monthly,Fiber,Debit Card,1,0,0
Female,66,25,2098.8661291743056,52443.67315551406,Monthly,Fiber,Cash,9,0,0
Female,26,23,621.8173939305524,14219.764486287826,Monthly,Fiber,Credit Card,5,0,0
Male,52,24,1845.1357034120783,44234.62288943492,Monthly,Fiber,Cash,7,0,1
Female,37,38,992.2074400363466,37622.38604561779,Monthly,Fiber,Credit Card,5,0,1
Male,66,28,2470.058308010701,69081.82094941089,Monthly,Fiber,UPI,3,0,1
Male,59,21,1449.0318128607366,30369.47032895851,Yearly,DSL,Debit Card,3,0,0
Female,52,54,2984.6472460305154,161270.92113454512,Monthly,DSL,UPI,8,0,0
Female,67,18,548.7511824352023,9777.958112405091,Monthly,Fiber,Credit Card,5,1,0
Male,35,36,2405.939229398428,86641.54678556748,Monthly,DSL,UPI,7,0,0
Male,34,45,2117.9946805638224,95238.00936497732,Yearly,DSL,Cash,7,1,0
Female,41,53,2371.2468425949046,125760.2082848721,Monthly,None,Cash,6,0,0
Female,20,30,1129.3304478242321,33798.64001339369,Yearly,DSL,Credit Card,2,0,0
Female,49,60,1627.5471213324815,97743.83991737413,Monthly,Fiber,Debit Card,9,0,0
Male,52,32,2449.5730032540127,78408.5213816251,Yearly,DSL,Cash,0,0,0
Male,55,67,926.8615953763085,61999.98050559576,Monthly,DSL,Debit Card,4,0,0
Male,30,67,909.2896313293606,61001.20673865052,Yearly,Fiber,Credit Card,9,0,0
Male,64,28,1786.8375738963173,50035.79442937027,Monthly,None,Debit Card,9,1,1
Male,42,44,1712.6216647306105,75307.88719521296,Monthly,Fiber,Credit Card,1,0,0
Male,26,41,1061.1086701149188,43558.9113102148,Yearly,None,UPI,9,0,0
Female,21,63,1103.8042564170214,69625.00126504972,Monthly,DSL,Credit Card,1,0,0
Male,31,23,1049.181940657727,24127.922799757078,Yearly,DSL,UPI,6,0,0
Male,54,48,2382.0825673959166,114303.0739298926,Monthly,DSL,Credit Card,2,0,0
Male,51,32,2059.1323370186437,65950.02380938358,Yearly,DSL,Cash,7,0,1
Female,28,57,2546.5263952076825,145188.3616263956,Yearly,DSL,Cash,8,0,1
Male,58,33,2932.777176447859,96859.3973195294,Yearly,None,Debit Card,7,0,1
Male,20,24,1579.2435999343634,37940.34920097696,Yearly,DSL,Credit Card,5,0,0
Female,45,39,479.0734797947119,18632.57137977367,Yearly,None,Credit Card,4,0,0
Male,46,34,428.84923811249564,14667.205945776657,Yearly,None,Credit Card,2,0,0
Male,26,56,1097.2956060333718,61369.521087310015,Monthly,None,Debit Card,2,0,0
Male,20,28,2816.8703912516175,78825.95950506665,Monthly,DSL,Cash,6,0,1
Male,42,37,1711.6752484213623,63336.02311313518,Yearly,DSL,Credit Card,4,0,1
Male,51,7,1032.8235934163488,7242.913559128622,Yearly,Fiber,Debit Card,5,0,0
Female,29,68,1376.7503451797527,93522.08558954856,Yearly,DSL,Credit Card,5,0,0
Female,59,37,1915.2067899926112,70918.76577489081,Yearly,Fiber,UPI,8,0,0
Female,26,56,2061.964076972174,115442.30977412683,Yearly,Fiber,Credit Card,0,0,1
Male,32,65,714.5826764138435,46429.15767510025,Monthly,Fiber,UPI,7,0,1
Male,57,65,2936.985526671975,190965.93314256577,Monthly,None,Debit Card,9,0,1
Male,42,47,1769.8850128535298,83160.45228246141,Monthly,None,Debit Card,4,0,0
Female,22,20,665.3584580391541,13216.614136082035,Monthly,DSL,Cash,5,0,1
Male,28,19,2711.815184034561,51459.77645075072,Monthly,DSL,Credit Card,5,0,0
Male,51,29,500.52376391445773,14606.36978799691,Yearly,DSL,Debit Card,0,0,0
Female,41,60,2749.8856695792842,164907.22124723755,Yearly,DSL,Cash,2,0,0
Male,32,18,2989.7272719802527,53786.07713583815,Monthly,Fiber,Credit Card,5,0,1
Female,55,35,2190.1658577225608,76656.4408536999,Monthly,Fiber,Debit Card,8,0,1
Female,25,43,2379.207496899772,102304.57853215792,Monthly,Fiber,UPI,5,0,0
Female,22,11,1209.7176584622132,13207.686231686774,Monthly,DSL,Debit Card,5,0,1
Male,65,49,2841.257502381621,139221.85016299092,Monthly,DSL,UPI,0,0,0
Male,43,38,1729.2277084925927,65687.407414314,Monthly,DSL,Cash,8,0,0
Male,35,64,2276.4488058133984,145787.1394391524,Monthly,None,Cash,3,0,0
Male,23,69,2794.0908329604545,192724.09929107013,Monthly,Fiber,Credit Card,1,0,0
Male,54,8,2931.9859351338723,23426.71832042288,Yearly,Fiber,Credit Card,0,0,0
Male,65,34,2548.651762811021,86638.05623259269,Monthly,Fiber,Credit Card,2,0,0
Male,30,48,1117.147268851481,53601.20761229128,Monthly,Fiber,Cash,2,0,0
Female,45,56,2908.6782946906224,162919.1506682052,Monthly,Fiber,UPI,4,0,0
Male,22,65,1994.9227343576438,129613.08030475641,Monthly,Fiber,Credit Card,0,1,0
Female,30,31,2811.7346861502915,87107.98958122185,Yearly,DSL,Credit Card,6,0,1
Male,34,4,2124.48356969875,8543.77646849517,Yearly,Fiber,Cash,0,0,1
Male,67,50,1128.5451969888454,56427.31795317791,Monthly,DSL,UPI,3,0,0
Male,57,69,1298.0662151856031,89549.59998301808,Yearly,DSL,Debit Card,5,0,0
Female,62,30,1785.2737981779394,53492.05455567363,Monthly,Fiber,Credit Card,0,0,0
Female,49,59,2432.0400722116815,143427.86970507164,Yearly,DSL,Debit Card,6,0,0
Female,46,67,1157.5528886189043,77458.15386482976,Monthly,Fiber,Debit Card,9,0,0
Female,68,45,1864.2741485623185,83810.62193907666,Monthly,DSL,Credit Card,6,1,0
Male,20,4,1232.1874826562841,4940.117669563185,Yearly,None,Cash,2,0,0
Female,57,26,2501.577392514789,65119.386831386204,Yearly,Fiber,Credit Card,3,0,1
Male,51,27,1559.165853173466,42054.91098870969,Yearly,None,UPI,5,0,0
Male,57,46,506.1516325027901,23248.52454030757,Monthly,DSL,UPI,6,0,1
Female,44,64,747.3418080001481,47752.99683413179,Monthly,None,Credit Card,3,0,0
Female,30,51,463.98260257300717,23640.838920344788,Yearly,DSL,Debit Card,9,0,0
Female,62,50,1647.117954238678,82263.34205284777,Monthly,Fiber,UPI,8,0,1
Female,50,6,586.1107028402134,3600.1843562936606,Monthly,None,UPI,8,0,1
Female,23,59,607.1779171360067,35858.119380649296,Monthly,Fiber,Credit Card,8,0,1
Female,41,15,2839.830302103618,42695.604293432916,Monthly,Fiber,Credit Card,9,0,1
Female,36,30,2655.1686948753495,79731.62547879618,Monthly,Fiber,Cash,5,0,0
Female,33,42,1519.6338113906882,63819.21819714853,Monthly,Fiber,Credit Card,1,0,1
Male,57,37,2960.6743662955555,109548.88855916563,Monthly,DSL,Credit Card,1,0,1
Female,45,42,299.5036260607904,12517.267503856634,Yearly,DSL,UPI,3,0,0
Female,50,35,1956.7445319381632,68478.46648640362,Monthly,None,UPI,8,0,0
Male,65,6,1963.3560789040491,11860.742048122856,Monthly,Fiber,UPI,2,0,0
Female,58,68,1534.0962508486982,104228.71574243865,Monthly,None,Debit Card,5,0,1
Male,30,18,1370.7595269225908,24746.3828452063,Monthly,None,UPI,1,0,0
Male,60,29,1528.5344657976405,44295.689068460095,Monthly,Fiber,UPI,0,0,0
Female,62,59,1419.3931774151372,83824.10002051236,Yearly,Fiber,Credit Card,4,0,0
Male,42,47,2271.329689202208,106840.67137377209,Monthly,DSL,Cash,7,0,1
Male,59,17,664.459674427867,11329.98744267412,Yearly,DSL,UPI,9,1,0
Male,53,22,832.6258955960514,18350.654460431662,Monthly,DSL,Cash,9,0,1
Male,44,68,786.3992166595438,53465.697600390726,Monthly,DSL,UPI,1,0,0
Female,55,69,1007.6705798274143,69596.37805300033,Yearly,DSL,UPI,9,0,0
Male,24,37,1717.197730710275,63628.63858796683,Monthly,Fiber,Cash,8,0,0
Female,22,49,599.2636178131906,29418.933632914166,Monthly,DSL,Credit Card,7,0,0
Male,60,13,2643.057097381561,34384.12961271164,Monthly,Fiber,UPI,2,0,0
Male,62,34,1101.8761345328753,37485.14715328203,Monthly,DSL,Cash,0,0,0
Male,68,53,737.8525661655112,39176.07998708883,Monthly,DSL,UPI,3,1,0
Male,48,51,2123.177535915257,108290.29508483237,Monthly,DSL,Debit Card,7,0,0
Female,40,3,401.83301161816206,1266.2710121042505,Monthly,None,Debit Card,2,0,0
Female,59,42,1972.9151251602434,82864.21230776508,Monthly,DSL,Debit Card,9,1,1
Male,27,32,2184.1357628265496,69804.83326544437,Yearly,DSL,Debit Card,1,1,1
Male,49,51,879.2746347441417,44819.795773732054,Yearly,DSL,Credit Card,6,0,0
Female,60,46,412.30299829781256,18954.826113233677,Yearly,None,Debit Card,3,0,0
Male,47,21,1280.842469082514,26826.015299730116,Monthly,DSL,Cash,5,0,1
Male,56,44,565.2044216532286,24789.4938185799,Yearly,Fiber,UPI,4,0,0
Male,48,11,613.4901941180101,6755.485125229501,Yearly,None,Cash,1,0,0
Female,35,68,985.5053249011344,66931.39082058835,Yearly,DSL,Debit Card,9,0,0
Female,53,1,1096.7633964922502,1057.352430070267,Monthly,Fiber,Credit Card,1,0,1
Female,19,63,1729.9199207578356,109033.87440293626,Monthly,DSL,Debit Card,8,0,1
Male,31,24,2130.6580908581354,51228.68061650885,Yearly,None,Debit Card,9,0,0
Male,30,13,1899.4815403494988,24736.83414065387,Monthly,DSL,Credit Card,1,0,0
Female,46,11,699.5729106816954,7793.827127189223,Monthly,Fiber,Credit Card,7,0,1
Female,29,51,763.6322876220913,38984.91426298254,Yearly,DSL,Credit Card,7,0,1
Female,56,17,2671.676974440869,45377.26745962563,Yearly,DSL,Credit Card,0,0,0
Female,19,24,1806.5512506731068,43391.640524255636,Yearly,DSL,Credit Card,0,0,0
Male,49,19,2647.8321488237602,50349.242180690824,Yearly,Fiber,Credit Card,3,0,0
Female,30,37,1302.1755805636608,48154.841877778745,Monthly,Fiber,UPI,1,0,0
Male,63,8,1957.8800200645744,15566.582930638473,Monthly,DSL,Debit Card,0,0,1
Female,44,28,1712.891223347449,48001.594210683674,Monthly,DSL,Debit Card,8,0,1
Male,66,5,1160.633422515249,5707.507131631354,Monthly,Fiber,Credit Card,2,0,0
Female,58,17,1567.7715044907075,26678.353191954044,Monthly,Fiber,Cash,0,0,1
Female,34,36,1655.7253674327164,59538.836525326304,Monthly,Fiber,Credit Card,1,0,0
Female,57,19,841.0816318430323,15993.671710567221,Monthly,DSL,UPI,7,0,0
Female,48,64,1149.5280054171753,73570.57495177534,Yearly,Fiber,Cash,4,0,0
Male,51,11,2435.806326368834,26696.572318518414,Yearly,Fiber,UPI,6,0,1
Female,41,54,2771.6282465261434,149640.49847581075,Yearly,Fiber,Cash,5,0,1
Male,62,45,1270.4440525723085,57190.20059923314,Yearly,DSL,Cash,0,0,0
Male,52,47,1127.825161964349,53077.503922704156,Monthly,Fiber,Credit Card,5,0,0
Male,65,12,826.0323443440828,9990.116554896296,Yearly,Fiber,UPI,6,0,0
Male,23,21,2130.9261553565693,44746.2192564946,Monthly,None,Cash,3,0,0
Female,36,11,1171.3691944991106,12930.745636950103,Yearly,Fiber,UPI,7,0,0
Male,47,5,2965.923755567809,14792.909693145737,Yearly,Fiber,Credit Card,7,0,1
Male,24,56,1178.3489655726737,65955.97935322147,Yearly,None,Credit Card,6,1,1
Male,27,20,1363.167326313096,27202.239230098385,Monthly,Fiber,Credit Card,1,1,0
Female,58,41,1928.0023297724938,79060.48514267089,Monthly,DSL,Credit Card,5,0,0
Female,49,46,2463.5475916165233,113286.10204454555,Monthly,Fiber,Debit Card,5,0,1
Female,51,12,1566.700396433211,18717.278936486233,Monthly,DSL,Cash,6,0,0
Female,45,70,1440.1712912301875,100848.99160344577,Monthly,Fiber,Debit Card,5,1,1
Male,32,17,2987.2221507059826,50824.32720352278,Monthly,DSL,Credit Card,1,0,1
Male,47,19,327.33283107785,6191.322274234962,Monthly,Fiber,Cash,7,0,1
Female,54,26,2715.6762798983636,70522.92795724866,Monthly,Fiber,Cash,3,0,0
Male,46,48,701.680230037291,33665.910585270656,Yearly,DSL,UPI,8,0,0
Male,39,52,2420.9982457640663,125880.37587134149,Monthly,None,Credit Card,7,0,1
Male,21,70,1967.4152115850045,137752.79898792988,Yearly,Fiber,Debit Card,2,0,1
Female,37,55,1221.9876708448487,67172.40517471841,Yearly,DSL,UPI,2,0,0
Female,49,33,2658.4623799067494,87765.77839287899,Monthly,Fiber,Cash,7,0,1
Male,53,62,333.8495155486783,20772.967672369534,Yearly,DSL,Debit Card,1,1,0
Female,67,23,911.0647606022939,20901.986702325197,Monthly,Fiber,Credit Card,8,0,1
Female,21,15,1829.6105498737472,27539.94215933019,Monthly,DSL,Debit Card,3,0,1
Female,44,27,1248.1641021341848,33677.704385050354,Monthly,Fiber,Debit Card,5,0,0
Female,34,64,1947.0192373594846,124562.68292803642,Monthly,Fiber,Debit Card,2,0,0
Female,29,51,364.09752220340044,18553.27586887548,Monthly,Fiber,UPI,2,0,0
Male,39,53,613.4391123006237,32431.15244711383,Monthly,Fiber,Cash,2,0,1
Female,34,51,642.159848589786,32675.293459381508,Monthly,None,Debit Card,9,0,0
Male,27,47,810.0658439732255,38055.98147613527,Monthly,None,Cash,1,0,0
Male,18,4,1539.1948901614655,6209.268465033682,Monthly,DSL,UPI,7,0,1
Female,39,7,2329.747488767642,16388.294869288395,Monthly,Fiber,Credit Card,8,1,1
Male,43,35,2743.954862408033,96071.38378242441,Monthly,Fiber,Credit Card,7,0,0
